,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories
1,IIP1C6ZhqZNNwcBR044cNA,"Rincon Ventures, Inc.","3323 N Campbell Ave, Ste 6",Tucson,AZ,85719.0,32.2669742,-110.9441904,1.5,46,1,"{'BusinessAcceptsCreditCards': 'False', 'ByAppointmentOnly': 'False'}","Real Estate, Home Services, Property Management"
6,yTP24A4KaFKW2FhGPOgncQ,Complete Landscaping,2474 N Flowing Wells Rd,Tucson,AZ,85705.0,32.25184475,-110.9903222,3.0,9,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Home Services, Local Services, Tree Services, Landscaping, Irrigation, Pest Control, Contractors"
7,R9g3QkPpzpInKln0Q-AxLg,Arizona Center For Reproductive Endocrinology & Infertility,"5190 E Farness Dr, Ste 114",Tucson,AZ,85712.0,32.247428,-110.8827178,2.0,10,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Health & Medical, Endocrinologists, Obstetricians & Gynecologists, Doctors, Fertility"
11,Q-hf7DKQ7FpLexQm3pABaQ,Furr's Family Dining,1095 W Saint Marys Rd,Tucson,AZ,85745.0,32.229206,-110.987368,2.5,36,0,"{'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'HasTV': 'False', 'Caters': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Buffets, Restaurants"
14,FA1IFiwTdK95i_ge-tM1gA,Saguaro PC Tech,"2231 N Indian Ruins Rd, Ste 6",Tucson,AZ,85715.0,32.2493033,-110.8455785,2.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Local Services, IT Services & Computer Repair"
17,_TINWezmq92zvKltrtANsA,Busy B's Bakery,3821 W Costco Dr,Tucson,AZ,85741.0,32.3256707,-111.0465353,1.5,14,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Bakeries, Food, Restaurants"
18,RiI4Bqu0UoXxcgORXvY66A,College Town Tucson,1300 E Fort Lowell Rd,Tucson,AZ,85719.0,32.264467,-110.950998,2.5,10,1,{'BusinessAcceptsCreditCards': 'False'},"Apartments, Home Services, Real Estate"
21,OrJlKf85cdGoGPl5Yhj5ww,Domino's Pizza,3040 W Valencia,Tucson,AZ,85713.0,32.1344145,-111.0317139,2.0,20,1,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'NoiseLevel': ""u'very_loud'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'WiFi': ""'no'""}","Sandwiches, Chicken Wings, Restaurants, Pizza"
22,9bm_JwRXQ5CIYNVU8irU8Q,Walmart Supercenter,8280 N Cortaro Rd,Tucson,AZ,85743.0,32.35614184,-111.0900909,3.0,14,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': None, 'validated': None, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'False'}","Discount Store, Shopping, Department Stores, Electronics, Drugstores, Automotive, Food, Grocery, Fashion, Tires"
25,gVAvtvKg9WGFXGiLGaztwg,"Brenda Wells, MD - Tucson Family Care",6624 E Carondelet Dr,Tucson,AZ,85710.0,32.225194,-110.850146,1.5,15,1,"{'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True'}","Doctors, Medical Centers, Family Practice, Health & Medical"
34,AIqaV2dq_feFvjHZ9LLvFg,Freedom Smoke USA,665 W Valencia Rd,Tucson,AZ,85706.0,32.13293,-110.979146,2.5,7,1,"{'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Shopping, Tobacco Shops"
35,_OkmuIOg-kJEBNAGsTjLhg,Roses And More,6170 E Speedway Blvd,Tucson,AZ,85712.0,32.23533913,-110.8606816,2.5,24,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'None', 'BikeParking': 'True', 'WiFi': ""u'free'""}","Shopping, Florists, Balloon Services, Flowers & Gifts, Event Planning & Services, Floral Designers"
37,x1oofeON2CsJPWS04aZEdw,Meineke Car Care Center,6905 E Broadway Blvd,Tucson,AZ,85710.0,32.221482,-110.844479,3.0,33,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Auto Repair, Automotive, Oil Change Stations, Professional Services, Auto Parts & Supplies, Tires"
41,9HxXwTAfKK2QpdGdPuxe4g,Walmart Pharmacy,7150 E Speedway Blvd,Tucson,AZ,85710.0,32.2335905,-110.8393713,1.5,9,1,"{'RestaurantsPriceRange2': '3', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True'}","Shopping, Drugstores, Vitamins & Supplements, Health & Medical, Pharmacy"
44,wgcSbX3osqRibWW7pVyfww,Jack in the Box,1202 W St Marys Rd,Tucson,AZ,85745.0,32.2298503,-110.9900599,2.0,13,1,"{'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'DriveThru': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'HasTV': 'True'}","Burgers, Fast Food, Restaurants, Breakfast & Brunch, Mexican, Tacos"
