,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories
2,fAQn9Or9ocMIu2WpttdS0Q,Prudence Car Care,903 S Prudence Rd,Tucson,AZ,85710.0,32.2099849,-110.8319622,5.0,11,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'WiFi': ""u'free'""}","Automotive, Auto Repair, Transmission Repair, Tires"
10,eS0b58kcXfPzYtzPa-TILQ,Zimmermann Chiropractic,"800 N Swan Rd, Ste 130",Tucson,AZ,85711.0,32.2322764,-110.8920335,5.0,7,1,"{'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Massage, Beauty & Spas, Medical Centers, Massage Therapy, Health & Medical, Chiropractors"
24,oy24kRVudCnkI1z_tI8x4Q,Distinctive Steel,1945 West Drexel Rd,Tucson,AZ,85746.0,32.1459712,-111.0106928,5.0,30,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Decks & Railing, Fences & Gates, Home Services, Security Systems"
38,kdwqGOQm_08KEmAqlbEjqg,Iora Primary Care,8616 E Broadway Blvd,Tucson,AZ,85710.0,32.2198658,-110.8084909,5.0,5,1,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Health & Medical, Doctors, Family Practice, Internal Medicine, Gerontologists, Health Coach"
51,MxDjb89KPoHY3idf-5VRBw,Don's Hot Rod Shop,2811 N Stone Ave,Tucson,AZ,85705.0,32.2580567,-110.9723804,5.0,7,1,{'BusinessAcceptsCreditCards': 'True'},"Auto Parts & Supplies, Automotive"
59,b9fO_23VAH3dH7o3L8siLw,Tucson Stained Glass,"4444 E Grant Rd, Ste 107",Tucson,AZ,85712.0,32.2501891,-110.8981805,5.0,5,1,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2'}","Arts & Crafts, Art Supplies, Shopping, Arts & Entertainment, Art Classes, Art Galleries, Education"
88,M3HdVbDOWmGtPh_lTLAgtQ,Carol's About Face,"2230 E Speedway Blvd, Ste 120",Tucson,AZ,85710.0,32.23630175,-110.9394556,5.0,32,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'False', 'WheelchairAccessible': 'True', 'BikeParking': 'True'}","Beauty & Spas, Medical Spas, Skin Care, Health & Medical"
102,z5r59h-c7vCS53k1YKSfxg,Lotus Massage & Wellness Center,2850 E Grant Rd,Tucson,AZ,85716.0,32.249969,-110.9297772,5.0,97,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'ByAppointmentOnly': 'True', 'BusinessAcceptsBitcoin': 'False', 'AcceptsInsurance': 'False'}","Health & Medical, Beauty & Spas, Massage Therapy, Reflexology, Massage"
133,5z6pkGKAHDsCzwdw-e_eag,Able Garage Door Service,2711 W Calle Del Tigre,Tucson,AZ,85746.0,32.123765,-111.025082,5.0,17,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Contractors, Home Services, Garage Door Services"
141,IRh7j-5UmzQsq0pOHzpGkA,"Howard Steinberg, DMD MDS","2385 N Ferguson Ave, Ste 111",Tucson,AZ,85712.0,32.2502662,-110.8780632,5.0,10,1,"{'ByAppointmentOnly': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'True'}","Dentists, Cosmetic Dentists, Prosthodontists, Health & Medical, Oral Surgeons, General Dentistry"
